我國對中國大陸(含香港)主要出口貨品類別 (2015年7月),,,,,,,
單位：億美元；%,,,,,,,
HS,貨品,2015年7月,,2014年7月,,增減比較,
二位碼,,金額,比重,金額,比重,增減金額,成長率(%)
,出口總額,90.6,100.0,105.2,100.0,-14.6,-13.8
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,46.2,51.0,49.7,47.3,-3.5,-7.0
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,10.9,12.0,13.3,12.6,-2.4,-17.8
39,塑膠及其製品 ,6.7,7.4,8.6,8.1,-1.9,-21.7
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,6.5,7.1,7.9,7.5,-1.4,-18.1
29,有機化學產品 ,3.7,4.1,6.8,6.5,-3.1,-45.4
74,銅及其製品 ,1.8,1.9,1.8,1.7,-0.1,-3.2
27,礦物燃料、礦油及其蒸餾產品；含瀝青物質；礦蠟 ,1.1,1.2,1.3,1.3,-0.2,-17.5
72,鋼鐵 ,1.1,1.2,1.5,1.5,-0.5,-29.6
38,雜項化學產品 ,1.0,1.1,1.1,1.0,-0.1,-8.0
70,玻璃及玻璃器 ,0.9,1.0,0.8,0.8,0.1,7.5
,其他,10.8,12.0,12.3,11.7,-1.6,-12.6
,進口總額,37.7,100.0,44.4,100.0,-6.6,-15.0
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,14.0,37.1,16.0,36.0,-2.0,-12.4
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,5.1,13.5,5.9,13.3,-0.8,-13.6
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,2.0,5.3,3.6,8.2,-1.6,-44.5
72,鋼鐵 ,1.9,4.9,3.0,6.7,-1.1,-37.0
38,雜項化學產品 ,1.8,4.8,1.5,3.5,0.3,16.6
71,天然珍珠或養珠、寶石或次寶石、貴金屬、被覆貴金屬之金屬及其製品；仿首飾；鑄幣 ,1.0,2.6,1.5,3.5,-0.5,-35.6
39,塑膠及其製品 ,1.0,2.6,1.1,2.4,-0.1,-10.6
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,0.9,2.5,0.9,2.0,0.0,3.9
29,有機化學產品 ,0.9,2.4,1.3,2.8,-0.3,-26.6
74,銅及其製品 ,0.6,1.7,0.9,2.0,-0.2,-26.9
,其他,8.5,22.6,8.7,19.6,-0.2,-2.2
1.???? 資料來源：中華民國財政部進出口貿易磁帶，本研究彙整。(更新時間：2015年8月16日),,,,,,,
2.???? 本表數據出口統計含復出口、進口統計含復進口。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
