貨品,出口金額,出口比重,進口金額,進口比重
電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,146.3,42.22222222,62.6,31.42570281
礦物燃料、礦油及其蒸餾產品；含瀝青物質；礦蠟 ,44,12.6984127,41.5,20.83333333
核子反應器、鍋爐、機器及機械用具；及其零件 ,28.1,8.10966811,20.9,10.49196787
塑膠及其製品 ,16.2,4.675324675,9,4.518072289
鋼鐵 ,15.9,4.588744589,6.4,3.212851406
針織品或鉤針織品 ,10.6,3.059163059,4.3,2.158634538
有機化學產品 ,7.4,2.135642136,4.2,2.108433735
人造纖維絲；人造紡織材料之扁條及類似品 ,6.1,1.76046176,4.1,2.058232932
雜項化學產品 ,5.9,1.702741703,3.5,1.757028112
光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,5.6,1.616161616,3,1.506024096
其他,60.4,17.43145743,39.7,19.92971888
總額,346.5,100,199.2,100
