總額,出口金額,進口金額,出(入)超,總額比重,出口比重,進口比重
日本,341.1,112.7,228.3,-115.6,11.3,6.8,16.7
中國大陸及香港,908.7,645.4,263.3,382,30,38.9,19.3
韓國,155.9,76.1,79.8,-3.7,5.2,4.6,5.8
印度,29.8,17.9,11.9,6,1,1.1,0.9
東協(10國),479.2,304.7,174.5,130.3,15.8,18.4,12.8
新加坡,148.4,105.2,43.2,62,4.9,6.3,3.2
馬來西亞,83.2,42.4,40.8,1.6,2.8,2.6,3
印尼,57.5,19.1,38.4,-19.4,1.9,1.1,2.8
緬甸,1.6,1.3,0.3,1.1,0.1,0.1,0
越南,70.1,55.7,14.4,41.2,2.3,3.4,1.1
美國,355.8,202.2,153.6,48.6,11.8,12.2,11.2
加拿大,22.3,14.2,8.1,6.1,0.7,0.9,0.6
墨西哥,16.4,12.8,3.6,9.3,0.5,0.8,0.3
俄羅斯,22.9,6.5,16.4,-9.9,0.8,0.4,1.2
歐盟(28國),272.5,136.7,135.9,0.8,9,8.2,9.9
西班牙,10.9,5.1,5.7,-0.6,0.4,0.3,0.4
德國,85.7,34.3,51.3,-17,2.8,2.1,3.8
荷蘭,41.3,23.2,18.2,5,1.4,1.4,1.3
英國,33.1,21.9,11.2,10.7,1.1,1.3,0.8
法國,22.9,8,14.9,-6.9,0.8,0.5,1.1
義大利,21.1,9.7,11.4,-1.7,0.7,0.6,0.8
土耳其,10.5,9.5,1,8.5,0.3,0.6,0.1
中東,187.4,42,145.4,-103.4,6.2,2.5,10.6
沙烏地阿拉伯,55.1,10.1,45,-34.8,1.8,0.6,3.3
科威特,25.1,1.3,23.9,-22.6,0.8,0.1,1.7
阿聯大公國,29.4,8.9,20.5,-11.6,1,0.5,1.5
大洋洲,68.9,22.7,46.2,-23.4,2.3,1.4,3.4
澳大利亞,54.8,18.6,36.1,-17.5,1.8,1.1,2.6
巴西,17.4,7.6,9.8,-2.3,0.6,0.5,0.7
埃及,3.8,3.2,0.6,2.7,0.1,0.2,0
南非,8.6,4.5,4.2,0.3,0.3,0.3,0.3
其他,46,13,33,-20,1.5,0.8,2.4
總計,"3,025.70","1,659.70","1,366.00",293.8,100,100,100
,,,,,,,
