我國對日本主要出口貨品類別 (2015年7月),,,,,,,
單位：億美元；%,,,,,,,
HS,貨品,2015年7月,,2014年7月,,增減比較,
二位碼,,金額,比重,金額,比重,增減金額,增減比率(%)
,出口總額,16.5,100.0,16.5,100.0,0.0,0.0
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,7.9,48.0,7.0,42.4,0.9,13.1
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,1.3,8.0,1.4,8.3,-0.1,-4.7
39,塑膠及其製品 ,1.0,6.3,1.0,6.2,0.0,1.0
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,0.7,4.5,0.6,3.7,0.1,23.1
3,魚類、甲殼類、軟體類及其他水產無脊椎動物 ,0.5,3.3,0.4,2.4,0.1,36.7
72,鋼鐵 ,0.5,2.8,0.7,4.1,-0.2,-30.8
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,0.4,2.7,0.4,2.5,0.0,6.2
73,鋼鐵製品 ,0.4,2.6,0.5,2.7,0.0,-3.4
38,雜項化學產品 ,0.4,2.5,0.6,3.8,-0.2,-32.3
94,家具；寢具、褥、褥支持物，軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌，照明名牌及類似品；組合式建築物 ,0.2,1.4,0.2,1.4,0.0,0.2
,其他,2.9,17.9,3.7,22.5,-0.8,-20.6
,進口總額,32.1,100.0,36.8,100.0,-4.7,-12.8
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,7.3,22.6,6.1,16.6,1.2,18.9
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,7.0,21.7,8.0,21.6,-1.0,-12.6
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,2.0,6.3,2.6,7.1,-0.6,-23.2
39,塑膠及其製品 ,2.0,6.2,2.8,7.6,-0.8,-28.8
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,1.9,5.8,2.3,6.2,-0.4,-17.9
38,雜項化學產品 ,1.6,4.8,1.9,5.2,-0.4,-19.5
72,鋼鐵 ,1.3,4.1,2.3,6.1,-0.9,-41.8
71,天然珍珠或養珠、寶石或次寶石、貴金屬、被覆貴金屬之金屬及其製品；仿首飾；鑄幣 ,1.2,3.8,0.7,2.0,0.5,69.0
74,銅及其製品 ,1.1,3.4,1.5,4.1,-0.4,-26.7
29,有機化學產品 ,1.0,3.1,1.4,3.7,-0.4,-28.8
,其他,5.8,18.2,7.3,19.8,-1.4,-19.4
1.???? 資料來源：中華民國財政部進出口貿易磁帶，本研究彙整。(更新時間：2015年8月16日),,,,,,,
2.???? 本表數據出口統計含復出口、進口統計含復進口。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
