我國對美國主要出口貨品類別 (2015年7月),,,,,,,
單位：億美元；%,,,,,,,
HS,貨品,2015年7月,,2014年7月,,增減比較,
二位碼,,金額,比重,金額,比重,增減金額,增減比率(%)
,出口總額,29.6,100,29.3,100,0.3,1
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,8.4,28.4,8,27.2,0.4,5.4
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,4.9,16.4,5.3,18,-0.4,-8.1
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,2.6,8.7,2.4,8.1,0.2,8.7
73,鋼鐵製品 ,2.2,7.3,2.3,8,-0.2,-7.3
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,1.6,5.6,1.1,3.6,0.6,56.6
39,塑膠及其製品 ,1.6,5.5,1.7,6,-0.1,-7.4
72,鋼鐵 ,1,3.3,1.2,4.1,-0.2,-20.3
94,家具；寢具、褥、褥支持物，軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌，照明名牌及類似品；組合式建築物 ,0.8,2.5,0.7,2.5,0,2.3
82,卑金屬製工具、器具、利器、匙、叉及其零件 ,0.7,2.4,0.6,2.1,0.1,16
95,玩具、遊戲品與運動用品；及其零件與附件 ,0.7,2.2,0.6,2.2,0,4.4
,其他,5.2,17.7,5.3,18.2,-0.1,-2.2
,進口總額,27.2,100,22.4,100,4.8,21.5
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,6.6,24.1,3.8,17,2.8,72.2
88,航空器、太空船及其零件 ,3.6,13.3,1.8,8.1,1.8,101.5
98,關稅配額之貨品 ,3.3,12.1,0.9,4,2.4,271.2
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,3,11.1,3.2,14.5,-0.2,-7.2
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,1.8,6.6,1.5,6.7,0.3,19.4
29,有機化學產品 ,1,3.6,1,4.4,0,-2.7
39,塑膠及其製品 ,0.8,2.8,0.9,3.9,-0.1,-12.2
10,穀類 ,0.7,2.6,0.6,2.5,0.1,25.4
38,雜項化學產品 ,0.5,2,0.6,2.9,-0.1,-17.1
2,肉及食用雜碎 ,0.5,1.9,0.5,2.3,0,3.5
,其他,5.4,19.9,7.5,33.7,-2.1,-28.4
1.???? 資料來源：中華民國財政部進出口貿易磁帶，本研究彙整。(更新時間：2015年8月16日),,,,,,,
2.???? 本表數據出口統計含復出口、進口統計含復進口。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
